passenger1Id,passenger2Id,numberOfFlightsTogether,from,to
716,724,9,2017-01-01,2017-01-31
701,751,9,2017-01-01,2017-01-31
1001,1023,9,2017-01-01,2017-01-31
746,763,9,2017-01-01,2017-01-31
724,763,9,2017-01-01,2017-01-31
760,763,9,2017-01-01,2017-01-31
1023,1095,9,2017-01-01,2017-01-31
724,740,9,2017-01-01,2017-01-31
740,772,9,2017-01-01,2017-01-31
740,746,9,2017-01-01,2017-01-31
751,760,9,2017-01-01,2017-01-31
701,763,9,2017-01-01,2017-01-31
724,746,9,2017-01-01,2017-01-31
740,763,9,2017-01-01,2017-01-31
724,760,9,2017-01-01,2017-01-31
740,751,9,2017-01-01,2017-01-31
751,763,9,2017-01-01,2017-01-31
716,763,9,2017-01-01,2017-01-31
746,751,9,2017-01-01,2017-01-31
716,740,9,2017-01-01,2017-01-31
701,724,9,2017-01-01,2017-01-31
724,751,9,2017-01-01,2017-01-31
746,772,9,2017-01-01,2017-01-31
1023,1053,9,2017-01-01,2017-01-31
701,746,9,2017-01-01,2017-01-31
701,716,9,2017-01-01,2017-01-31
1053,1095,9,2017-01-01,2017-01-31
751,772,9,2017-01-01,2017-01-31
701,740,9,2017-01-01,2017-01-31
760,772,9,2017-01-01,2017-01-31
716,751,9,2017-01-01,2017-01-31
1001,1095,9,2017-01-01,2017-01-31
716,760,9,2017-01-01,2017-01-31
746,760,9,2017-01-01,2017-01-31
724,772,9,2017-01-01,2017-01-31
716,772,9,2017-01-01,2017-01-31
740,760,9,2017-01-01,2017-01-31
763,772,9,2017-01-01,2017-01-31
1001,1053,9,2017-01-01,2017-01-31
701,772,9,2017-01-01,2017-01-31
364,368,9,2017-01-01,2017-01-31
716,746,9,2017-01-01,2017-01-31
701,760,9,2017-01-01,2017-01-31
733,752,8,2017-01-01,2017-01-31
739,752,8,2017-01-01,2017-01-31
752,760,8,2017-01-01,2017-01-31
733,771,8,2017-01-01,2017-01-31
739,763,8,2017-01-01,2017-01-31
752,759,8,2017-01-01,2017-01-31
739,755,8,2017-01-01,2017-01-31
740,771,8,2017-01-01,2017-01-31
368,1023,8,2017-01-01,2017-01-31
364,374,8,2017-01-01,2017-01-31
701,771,8,2017-01-01,2017-01-31
771,772,8,2017-01-01,2017-01-31
701,755,8,2017-01-01,2017-01-31
733,755,8,2017-01-01,2017-01-31
746,755,8,2017-01-01,2017-01-31
364,1001,8,2017-01-01,2017-01-31
739,771,8,2017-01-01,2017-01-31
759,771,8,2017-01-01,2017-01-31
740,759,8,2017-01-01,2017-01-31
733,763,8,2017-01-01,2017-01-31
739,760,8,2017-01-01,2017-01-31
724,759,8,2017-01-01,2017-01-31
733,772,8,2017-01-01,2017-01-31
364,1053,8,2017-01-01,2017-01-31
733,739,8,2017-01-01,2017-01-31
366,374,8,2017-01-01,2017-01-31
755,760,8,2017-01-01,2017-01-31
733,746,8,2017-01-01,2017-01-31
739,772,8,2017-01-01,2017-01-31
752,755,8,2017-01-01,2017-01-31
759,763,8,2017-01-01,2017-01-31
701,733,8,2017-01-01,2017-01-31
368,1001,8,2017-01-01,2017-01-31
752,772,8,2017-01-01,2017-01-31
739,759,8,2017-01-01,2017-01-31
733,740,8,2017-01-01,2017-01-31
716,759,8,2017-01-01,2017-01-31
751,752,8,2017-01-01,2017-01-31
368,1053,8,2017-01-01,2017-01-31
739,746,8,2017-01-01,2017-01-31
1023,1056,8,2017-01-01,2017-01-31
746,752,8,2017-01-01,2017-01-31
739,740,8,2017-01-01,2017-01-31
364,1023,8,2017-01-01,2017-01-31
724,755,8,2017-01-01,2017-01-31
752,763,8,2017-01-01,2017-01-31
759,760,8,2017-01-01,2017-01-31
724,733,8,2017-01-01,2017-01-31
1053,1056,8,2017-01-01,2017-01-31
751,771,8,2017-01-01,2017-01-31
1056,1095,8,2017-01-01,2017-01-31
368,1095,8,2017-01-01,2017-01-31
366,368,8,2017-01-01,2017-01-31
733,759,8,2017-01-01,2017-01-31
746,771,8,2017-01-01,2017-01-31
751,759,8,2017-01-01,2017-01-31
724,752,8,2017-01-01,2017-01-31
364,366,8,2017-01-01,2017-01-31
755,771,8,2017-01-01,2017-01-31
755,763,8,2017-01-01,2017-01-31
701,752,8,2017-01-01,2017-01-31
701,739,8,2017-01-01,2017-01-31
763,771,8,2017-01-01,2017-01-31
733,760,8,2017-01-01,2017-01-31
759,772,8,2017-01-01,2017-01-31
701,759,8,2017-01-01,2017-01-31
716,752,8,2017-01-01,2017-01-31
716,739,8,2017-01-01,2017-01-31
716,755,8,2017-01-01,2017-01-31
740,755,8,2017-01-01,2017-01-31
716,733,8,2017-01-01,2017-01-31
739,751,8,2017-01-01,2017-01-31
755,759,8,2017-01-01,2017-01-31
751,755,8,2017-01-01,2017-01-31
724,771,8,2017-01-01,2017-01-31
724,739,8,2017-01-01,2017-01-31
760,771,8,2017-01-01,2017-01-31
746,759,8,2017-01-01,2017-01-31
1001,1056,8,2017-01-01,2017-01-31
368,374,8,2017-01-01,2017-01-31
364,1095,8,2017-01-01,2017-01-31
740,752,8,2017-01-01,2017-01-31
755,772,8,2017-01-01,2017-01-31
716,771,8,2017-01-01,2017-01-31
733,751,8,2017-01-01,2017-01-31
752,771,8,2017-01-01,2017-01-31
763,1095,7,2017-01-01,2017-01-31
368,751,7,2017-01-01,2017-01-31
746,1001,7,2017-01-01,2017-01-31
374,1056,7,2017-01-01,2017-01-31
751,1053,7,2017-01-01,2017-01-31
760,1053,7,2017-01-01,2017-01-31
724,1053,7,2017-01-01,2017-01-31
364,746,7,2017-01-01,2017-01-31
368,701,7,2017-01-01,2017-01-31
364,760,7,2017-01-01,2017-01-31
364,1056,7,2017-01-01,2017-01-31
364,724,7,2017-01-01,2017-01-31
763,1053,7,2017-01-01,2017-01-31
746,1095,7,2017-01-01,2017-01-31
740,1023,7,2017-01-01,2017-01-31
724,1001,7,2017-01-01,2017-01-31
366,1023,7,2017-01-01,2017-01-31
374,1001,7,2017-01-01,2017-01-31
364,763,7,2017-01-01,2017-01-31
746,1053,7,2017-01-01,2017-01-31
740,1095,7,2017-01-01,2017-01-31
374,1053,7,2017-01-01,2017-01-31
751,1095,7,2017-01-01,2017-01-31
368,772,7,2017-01-01,2017-01-31
740,1001,7,2017-01-01,2017-01-31
364,740,7,2017-01-01,2017-01-31
751,1023,7,2017-01-01,2017-01-31
701,1053,7,2017-01-01,2017-01-31
772,1001,7,2017-01-01,2017-01-31
368,716,7,2017-01-01,2017-01-31
772,1053,7,2017-01-01,2017-01-31
716,1023,7,2017-01-01,2017-01-31
724,1095,7,2017-01-01,2017-01-31
772,1023,7,2017-01-01,2017-01-31
701,1001,7,2017-01-01,2017-01-31
374,1023,7,2017-01-01,2017-01-31
751,1001,7,2017-01-01,2017-01-31
772,1095,7,2017-01-01,2017-01-31
368,763,7,2017-01-01,2017-01-31
366,1053,7,2017-01-01,2017-01-31
701,1023,7,2017-01-01,2017-01-31
716,1095,7,2017-01-01,2017-01-31
724,1023,7,2017-01-01,2017-01-31
366,1001,7,2017-01-01,2017-01-31
760,1023,7,2017-01-01,2017-01-31
368,760,7,2017-01-01,2017-01-31
716,1053,7,2017-01-01,2017-01-31
364,701,7,2017-01-01,2017-01-31
746,1023,7,2017-01-01,2017-01-31
368,724,7,2017-01-01,2017-01-31
701,1095,7,2017-01-01,2017-01-31
366,1095,7,2017-01-01,2017-01-31
366,1056,7,2017-01-01,2017-01-31
763,1001,7,2017-01-01,2017-01-31
760,1095,7,2017-01-01,2017-01-31
740,1053,7,2017-01-01,2017-01-31
364,716,7,2017-01-01,2017-01-31
763,1023,7,2017-01-01,2017-01-31
368,1056,7,2017-01-01,2017-01-31
760,1001,7,2017-01-01,2017-01-31
374,1095,7,2017-01-01,2017-01-31
368,740,7,2017-01-01,2017-01-31
368,746,7,2017-01-01,2017-01-31
364,751,7,2017-01-01,2017-01-31
716,1001,7,2017-01-01,2017-01-31
364,772,7,2017-01-01,2017-01-31
755,762,6,2017-01-01,2017-01-31
730,768,6,2017-01-01,2017-01-31
709,733,6,2017-01-01,2017-01-31
706,762,6,2017-01-01,2017-01-31
760,766,6,2017-01-01,2017-01-31
2183,2199,6,2017-01-01,2017-01-31
255,275,6,2017-01-01,2017-01-31
1013,1031,6,2017-01-01,2017-01-31
366,772,6,2017-01-01,2017-01-31
368,395,6,2017-01-01,2017-01-31
334,354,6,2017-01-01,2017-01-31
768,792,6,2017-01-01,2017-01-31
701,791,6,2017-01-01,2017-01-31
374,392,6,2017-01-01,2017-01-31
704,746,6,2017-01-01,2017-01-31
704,771,6,2017-01-01,2017-01-31
1013,1053,6,2017-01-01,2017-01-31
764,766,6,2017-01-01,2017-01-31
334,395,6,2017-01-01,2017-01-31
704,709,6,2017-01-01,2017-01-31
724,762,6,2017-01-01,2017-01-31
752,1056,6,2017-01-01,2017-01-31
366,724,6,2017-01-01,2017-01-31
354,368,6,2017-01-01,2017-01-31
704,764,6,2017-01-01,2017-01-31
733,791,6,2017-01-01,2017-01-31
730,797,6,2017-01-01,2017-01-31
752,761,6,2017-01-01,2017-01-31
746,764,6,2017-01-01,2017-01-31
766,771,6,2017-01-01,2017-01-31
752,764,6,2017-01-01,2017-01-31
755,1056,6,2017-01-01,2017-01-31
248,274,6,2017-01-01,2017-01-31
255,293,6,2017-01-01,2017-01-31
791,797,6,2017-01-01,2017-01-31
766,797,6,2017-01-01,2017-01-31
752,1023,6,2017-01-01,2017-01-31
730,752,6,2017-01-01,2017-01-31
751,766,6,2017-01-01,2017-01-31
364,752,6,2017-01-01,2017-01-31
740,1056,6,2017-01-01,2017-01-31
762,797,6,2017-01-01,2017-01-31
724,797,6,2017-01-01,2017-01-31
739,764,6,2017-01-01,2017-01-31
763,766,6,2017-01-01,2017-01-31
709,762,6,2017-01-01,2017-01-31
364,739,6,2017-01-01,2017-01-31
2178,2199,6,2017-01-01,2017-01-31
293,299,6,2017-01-01,2017-01-31
355,364,6,2017-01-01,2017-01-31
739,797,6,2017-01-01,2017-01-31
328,395,6,2017-01-01,2017-01-31
766,768,6,2017-01-01,2017-01-31
2152,2153,6,2017-01-01,2017-01-31
760,768,6,2017-01-01,2017-01-31
1023,1057,6,2017-01-01,2017-01-31
762,766,6,2017-01-01,2017-01-31
709,730,6,2017-01-01,2017-01-31
274,293,6,2017-01-01,2017-01-31
760,761,6,2017-01-01,2017-01-31
334,374,6,2017-01-01,2017-01-31
746,792,6,2017-01-01,2017-01-31
374,746,6,2017-01-01,2017-01-31
360,366,6,2017-01-01,2017-01-31
763,768,6,2017-01-01,2017-01-31
2175,2199,6,2017-01-01,2017-01-31
759,792,6,2017-01-01,2017-01-31
739,1053,6,2017-01-01,2017-01-31
362,366,6,2017-01-01,2017-01-31
764,797,6,2017-01-01,2017-01-31
374,724,6,2017-01-01,2017-01-31
752,1001,6,2017-01-01,2017-01-31
759,1095,6,2017-01-01,2017-01-31
763,764,6,2017-01-01,2017-01-31
762,763,6,2017-01-01,2017-01-31
328,368,6,2017-01-01,2017-01-31
374,760,6,2017-01-01,2017-01-31
746,1056,6,2017-01-01,2017-01-31
364,755,6,2017-01-01,2017-01-31
2153,2197,6,2017-01-01,2017-01-31
739,761,6,2017-01-01,2017-01-31
709,772,6,2017-01-01,2017-01-31
366,752,6,2017-01-01,2017-01-31
764,768,6,2017-01-01,2017-01-31
716,730,6,2017-01-01,2017-01-31
706,716,6,2017-01-01,2017-01-31
1031,1057,6,2017-01-01,2017-01-31
2178,2186,6,2017-01-01,2017-01-31
650,684,6,2017-01-01,2017-01-31
730,761,6,2017-01-01,2017-01-31
704,706,6,2017-01-01,2017-01-31
701,730,6,2017-01-01,2017-01-31
739,1095,6,2017-01-01,2017-01-31
739,766,6,2017-01-01,2017-01-31
366,740,6,2017-01-01,2017-01-31
1057,1095,6,2017-01-01,2017-01-31
366,755,6,2017-01-01,2017-01-31
391,398,6,2017-01-01,2017-01-31
1031,1053,6,2017-01-01,2017-01-31
374,751,6,2017-01-01,2017-01-31
709,755,6,2017-01-01,2017-01-31
760,1056,6,2017-01-01,2017-01-31
360,362,6,2017-01-01,2017-01-31
706,772,6,2017-01-01,2017-01-31
746,762,6,2017-01-01,2017-01-31
751,768,6,2017-01-01,2017-01-31
2186,2199,6,2017-01-01,2017-01-31
366,392,6,2017-01-01,2017-01-31
334,366,6,2017-01-01,2017-01-31
761,791,6,2017-01-01,2017-01-31
761,771,6,2017-01-01,2017-01-31
752,1053,6,2017-01-01,2017-01-31
704,762,6,2017-01-01,2017-01-31
706,746,6,2017-01-01,2017-01-31
751,762,6,2017-01-01,2017-01-31
706,792,6,2017-01-01,2017-01-31
709,751,6,2017-01-01,2017-01-31
724,1056,6,2017-01-01,2017-01-31
334,362,6,2017-01-01,2017-01-31
716,762,6,2017-01-01,2017-01-31
740,797,6,2017-01-01,2017-01-31
701,797,6,2017-01-01,2017-01-31
706,768,6,2017-01-01,2017-01-31
716,764,6,2017-01-01,2017-01-31
366,716,6,2017-01-01,2017-01-31
366,739,6,2017-01-01,2017-01-31
212,276,6,2017-01-01,2017-01-31
360,374,6,2017-01-01,2017-01-31
762,768,6,2017-01-01,2017-01-31
772,791,6,2017-01-01,2017-01-31
1001,1013,6,2017-01-01,2017-01-31
374,752,6,2017-01-01,2017-01-31
706,764,6,2017-01-01,2017-01-31
730,766,6,2017-01-01,2017-01-31
392,395,6,2017-01-01,2017-01-31
709,792,6,2017-01-01,2017-01-31
274,275,6,2017-01-01,2017-01-31
374,395,6,2017-01-01,2017-01-31
706,759,6,2017-01-01,2017-01-31
730,764,6,2017-01-01,2017-01-31
328,366,6,2017-01-01,2017-01-31
368,755,6,2017-01-01,2017-01-31
248,255,6,2017-01-01,2017-01-31
2175,2183,6,2017-01-01,2017-01-31
704,739,6,2017-01-01,2017-01-31
704,766,6,2017-01-01,2017-01-31
766,791,6,2017-01-01,2017-01-31
772,1056,6,2017-01-01,2017-01-31
704,759,6,2017-01-01,2017-01-31
704,797,6,2017-01-01,2017-01-31
771,792,6,2017-01-01,2017-01-31
740,791,6,2017-01-01,2017-01-31
704,752,6,2017-01-01,2017-01-31
755,768,6,2017-01-01,2017-01-31
328,362,6,2017-01-01,2017-01-31
215,274,6,2017-01-01,2017-01-31
704,755,6,2017-01-01,2017-01-31
755,1001,6,2017-01-01,2017-01-31
1029,1031,6,2017-01-01,2017-01-31
771,1095,6,2017-01-01,2017-01-31
704,751,6,2017-01-01,2017-01-31
706,733,6,2017-01-01,2017-01-31
355,360,6,2017-01-01,2017-01-31
709,760,6,2017-01-01,2017-01-31
701,761,6,2017-01-01,2017-01-31
759,1053,6,2017-01-01,2017-01-31
275,293,6,2017-01-01,2017-01-31
730,792,6,2017-01-01,2017-01-31
751,791,6,2017-01-01,2017-01-31
709,766,6,2017-01-01,2017-01-31
362,368,6,2017-01-01,2017-01-31
368,392,6,2017-01-01,2017-01-31
724,792,6,2017-01-01,2017-01-31
368,752,6,2017-01-01,2017-01-31
733,1095,6,2017-01-01,2017-01-31
701,1056,6,2017-01-01,2017-01-31
760,762,6,2017-01-01,2017-01-31
2178,2183,6,2017-01-01,2017-01-31
354,392,6,2017-01-01,2017-01-31
716,792,6,2017-01-01,2017-01-31
752,797,6,2017-01-01,2017-01-31
324,374,6,2017-01-01,2017-01-31
610,650,6,2017-01-01,2017-01-31
733,1001,6,2017-01-01,2017-01-31
205,275,6,2017-01-01,2017-01-31
360,395,6,2017-01-01,2017-01-31
733,764,6,2017-01-01,2017-01-31
709,740,6,2017-01-01,2017-01-31
1053,1057,6,2017-01-01,2017-01-31
730,740,6,2017-01-01,2017-01-31
759,791,6,2017-01-01,2017-01-31
709,771,6,2017-01-01,2017-01-31
374,759,6,2017-01-01,2017-01-31
752,1095,6,2017-01-01,2017-01-31
366,733,6,2017-01-01,2017-01-31
2175,2178,6,2017-01-01,2017-01-31
215,275,6,2017-01-01,2017-01-31
704,768,6,2017-01-01,2017-01-31
1031,1095,6,2017-01-01,2017-01-31
762,771,6,2017-01-01,2017-01-31
709,797,6,2017-01-01,2017-01-31
704,791,6,2017-01-01,2017-01-31
706,771,6,2017-01-01,2017-01-31
768,772,6,2017-01-01,2017-01-31
759,762,6,2017-01-01,2017-01-31
761,797,6,2017-01-01,2017-01-31
763,791,6,2017-01-01,2017-01-31
1013,1095,6,2017-01-01,2017-01-31
755,792,6,2017-01-01,2017-01-31
354,374,6,2017-01-01,2017-01-31
762,791,6,2017-01-01,2017-01-31
746,791,6,2017-01-01,2017-01-31
716,791,6,2017-01-01,2017-01-31
1013,1057,6,2017-01-01,2017-01-31
248,299,6,2017-01-01,2017-01-31
730,763,6,2017-01-01,2017-01-31
374,701,6,2017-01-01,2017-01-31
334,368,6,2017-01-01,2017-01-31
724,730,6,2017-01-01,2017-01-31
2175,2186,6,2017-01-01,2017-01-31
354,366,6,2017-01-01,2017-01-31
772,792,6,2017-01-01,2017-01-31
709,746,6,2017-01-01,2017-01-31
364,733,6,2017-01-01,2017-01-31
752,766,6,2017-01-01,2017-01-31
366,395,6,2017-01-01,2017-01-31
755,1023,6,2017-01-01,2017-01-31
706,761,6,2017-01-01,2017-01-31
762,772,6,2017-01-01,2017-01-31
606,610,6,2017-01-01,2017-01-31
761,792,6,2017-01-01,2017-01-31
701,768,6,2017-01-01,2017-01-31
733,1053,6,2017-01-01,2017-01-31
761,766,6,2017-01-01,2017-01-31
704,772,6,2017-01-01,2017-01-31
746,766,6,2017-01-01,2017-01-31
761,764,6,2017-01-01,2017-01-31
324,334,6,2017-01-01,2017-01-31
374,739,6,2017-01-01,2017-01-31
2153,2175,6,2017-01-01,2017-01-31
2175,2197,6,2017-01-01,2017-01-31
324,328,6,2017-01-01,2017-01-31
355,374,6,2017-01-01,2017-01-31
730,746,6,2017-01-01,2017-01-31
1013,1056,6,2017-01-01,2017-01-31
248,293,6,2017-01-01,2017-01-31
701,792,6,2017-01-01,2017-01-31
755,1095,6,2017-01-01,2017-01-31
354,355,6,2017-01-01,2017-01-31
354,364,6,2017-01-01,2017-01-31
